,x,y,t,vit_vent,angle_vent,cap,twa,polaire
40,-5.6173346825297,-49.56105676349148,1600348291.5188248,23.813667222304716,80.0134236136937,293.00000000000335,147.0134236136903,13.002385697423541
41,-5.668590677394231,-49.57516908803761,1600348891.5188248,23.601826090576242,80.51700541574917,291.0000000000041,149.51700541574507,12.848408790174837
42,-5.719973998483426,-49.58795924890721,1600349491.5188248,23.39577303301418,81.04079027822314,296.99999999999636,144.04079027822672,12.773285494453017
43,-5.768740143918819,-49.604067444087605,1600350091.5188248,23.183070659498924,81.60107265986449,303.0000000000041,138.6010726598604,12.575410271106133
44,-5.813945712474829,-49.62309260885142,1600350691.5188248,22.967033137853395,82.19177233390553,293.99999999999704,148.1917723339085,12.513938353989836
45,-5.862965572864407,-49.637231156845196,1600351291.5188248,22.764510787612508,82.79968986285013,302.00000000000455,140.79968986284553,12.414166503774165
46,-5.908121212921508,-49.65550478456672,1600351891.5188248,22.554479875153806,83.44669141134636,297.0000000000035,146.44669141134284,12.311271433910038
47,-5.955188672841402,-49.67103034087425,1600352491.5188248,22.354604251598417,84.11558081145483,301.9999999999991,142.11558081145574,12.202232805932614
48,-5.999604253711767,-49.6889920026257,1600353091.5188248,22.15235050313713,84.81975315711566,302.99999999999545,141.8197531571202,12.093871533492933
49,-6.043154712547813,-49.70728865407458,1600353691.5188248,22.07492822871994,85.20659197501607,300.00000000000415,145.20659197501186,12.052466660287251
50,-6.087988566689033,-49.72402819110276,1600354291.5188248,22.014077397385012,85.55995893996675,307.000000000004,138.55995893996283,11.980716418434659
51,-6.129101702984674,-49.74405645534926,1600354891.5188248,21.94921952016791,85.893464250536,296.00000000000364,149.89346425053236,11.919339944561067
52,-6.175152889243664,-49.758570607350556,1600355491.5188248,21.93920673846127,85.96641860322683,303.9999999999951,141.96641860323166,11.980387164953697
53,-6.2178603211301215,-49.77717990591576,1600356091.5188248,21.91268392360108,86.07587444499859,302.9999999999954,143.07587444500314,11.965526950771938
54,-6.261026971462499,-49.79528238661552,1600356691.5188248,21.890650927585607,86.17820150435068,297.99999999999636,148.17820150435432,11.914505086799437
55,-6.306295704928524,-49.81081994584585,1600357291.5188248,21.882265085470397,86.25608563038645,301.999999999999,144.25608563038747,11.947545074081109
56,-6.349909708151264,-49.828406707776544,1600357891.5188248,21.86633020062268,86.35139263260629,301.0000000000051,145.35139263260112,11.937331796948262
57,-6.393971028354617,-49.84548498663283,1600358491.5188248,21.854336407384494,86.44184984389085,319.26890594742883,127.17294389646202,11.64412454412972
58,-6.4,-49.85,1600358491.5188248,21.840197806646767,86.46926186490396,0.0,86.46926186490396,9.517213685248219
